name,filter_object,graphql_object,llm_result
INTERACT - femme,"{""value"": {""sex"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Female""]}, ""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INTERACT""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INTERACT""]}}, {""IN"": {""sex"": [""Female""]}}]}",The cohort consists of female participants who are part of the INTERACT consortium.
No bulk,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""NODAL""]}, ""disease_characteristics.bulk_disease"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""No""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""NODAL""]}}, {""nested"": {""AND"": [{""IN"": {""bulk_disease"": [""No""]}}], ""path"": ""disease_characteristics""}}]}","The cohort consists of individuals who are part of the NODAL consortium and do not have bulk disease, as indicated by the disease characteristics."
"Stage 4 toddlers, 1p-","{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""disease_phase:Initial Diagnosis"": {""value"": {""stagings.stage"": {""__type"": ""OPTION"", ""selectedValues"": [""Stage 4""]}, ""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""selectedValues"": [""1p deletion""]}, ""tumor_assessments.age_at_tumor_assessment"": {""__type"": ""RANGE"", ""lowerBound"": 365, ""upperBound"": 547}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""selectedValues"": [""Present""]}}, ""__type"": ""ANCHORED""}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""molecular_abnormality_result"": [""Present""]}}, {""IN"": {""molecular_abnormality"": [""1p deletion""]}}]}]}], ""path"": ""molecular_analysis""}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""stage"": [""Stage 4""]}}]}]}], ""path"": ""stagings""}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""AND"": [{""GTE"": {""age_at_tumor_assessment"": 365}}, {""LTE"": {""age_at_tumor_assessment"": 547}}]}]}]}], ""path"": ""tumor_assessments""}}]}","The cohort consists of patients from the INRG consortium who were at the initial diagnosis phase. These patients were diagnosed with Stage 4 disease and had a molecular abnormality of 1p deletion, which was confirmed to be present. Additionally, the age of the patients at the time of tumor assessment ranged from 365 to 547 days."
PAX3.FOXO1 +,"{""value"": {""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""selectedValues"": [""FOXO1-PAX3 fusion""]}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""selectedValues"": [""Present""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""nested"": {""AND"": [{""IN"": {""molecular_abnormality"": [""FOXO1-PAX3 fusion""]}}, {""IN"": {""molecular_abnormality_result"": [""Present""]}}], ""path"": ""molecular_analysis""}}]}","The cohort consists of individuals who have undergone molecular analysis and exhibit the FOXO1-PAX3 fusion abnormality, with the result of this abnormality being present."
PAX7.FOXO1+,"{""value"": {""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""selectedValues"": [""FOXO1-PAX7 fusion""]}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""selectedValues"": [""Present""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""nested"": {""AND"": [{""IN"": {""molecular_abnormality"": [""FOXO1-PAX7 fusion""]}}, {""IN"": {""molecular_abnormality_result"": [""Present""]}}], ""path"": ""molecular_analysis""}}]}","The cohort consists of individuals who have undergone molecular analysis and exhibit the FOXO1-PAX7 fusion abnormality, with the result of this abnormality being present."
"Stage 4 toddlers, diploid","{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""disease_phase:Initial Diagnosis"": {""value"": {""stagings.stage"": {""__type"": ""OPTION"", ""selectedValues"": [""Stage 4""]}, ""molecular_analysis.dna_index"": {""__type"": ""OPTION"", ""selectedValues"": [""DNA Index <= 1 (Hypodiploid, Diploid)""]}, ""tumor_assessments.age_at_tumor_assessment"": {""__type"": ""RANGE"", ""lowerBound"": 365, ""upperBound"": 547}}, ""__type"": ""ANCHORED""}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""stage"": [""Stage 4""]}}]}]}], ""path"": ""stagings""}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""AND"": [{""GTE"": {""age_at_tumor_assessment"": 365}}, {""LTE"": {""age_at_tumor_assessment"": 547}}]}]}]}], ""path"": ""tumor_assessments""}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""dna_index"": [""DNA Index <= 1 (Hypodiploid, Diploid)""]}}]}]}], ""path"": ""molecular_analysis""}}]}","The cohort consists of patients from the INRG consortium who were at the initial diagnosis phase of their disease. These patients were specifically at Stage 4 of their condition. Additionally, their DNA index was less than or equal to 1, indicating a hypodiploid or diploid status. The age of the patients at the time of tumor assessment was between 365 and 547 days."
"Stage 4 toddlers, mycn-NA, 17q-","{""value"": [{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""disease_phase:Initial Diagnosis"": {""value"": {""stagings.stage"": {""__type"": ""OPTION"", ""selectedValues"": [""Stage 4""]}, ""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""selectedValues"": [""MYCN Amplification""]}, ""tumor_assessments.age_at_tumor_assessment"": {""__type"": ""RANGE"", ""lowerBound"": 365, ""upperBound"": 547}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""selectedValues"": [""Absent""]}}, ""__type"": ""ANCHORED""}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}, {""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""disease_phase:Initial Diagnosis"": {""value"": {""stagings.stage"": {""__type"": ""OPTION"", ""selectedValues"": [""Stage 4""]}, ""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""selectedValues"": [""17q gain""]}, ""tumor_assessments.age_at_tumor_assessment"": {""__type"": ""RANGE"", ""lowerBound"": 365, ""upperBound"": 547}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""selectedValues"": [""Present""]}}, ""__type"": ""ANCHORED""}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}], ""__type"": ""COMPOSED"", ""__combineMode"": ""AND""}","{""AND"": [{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""molecular_abnormality"": [""MYCN Amplification""]}}, {""IN"": {""molecular_abnormality_result"": [""Absent""]}}]}]}], ""path"": ""molecular_analysis""}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""stage"": [""Stage 4""]}}]}]}], ""path"": ""stagings""}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""AND"": [{""GTE"": {""age_at_tumor_assessment"": 365}}, {""LTE"": {""age_at_tumor_assessment"": 547}}]}]}]}], ""path"": ""tumor_assessments""}}]}, {""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""molecular_abnormality"": [""17q gain""]}}, {""IN"": {""molecular_abnormality_result"": [""Present""]}}]}]}], ""path"": ""molecular_analysis""}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""stage"": [""Stage 4""]}}]}]}], ""path"": ""stagings""}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""AND"": [{""GTE"": {""age_at_tumor_assessment"": 365}}, {""LTE"": {""age_at_tumor_assessment"": 547}}]}]}]}], ""path"": ""tumor_assessments""}}]}]}","The cohort consists of patients from the INRG consortium who were at the initial diagnosis phase with Stage 4 disease. The patients were between 1 and 1.5 years old at the time of tumor assessment. Two groups were identified: one group had MYCN amplification with the molecular abnormality result absent, and the other group had a 17q gain with the molecular abnormality result present."
INRG FEMALE,"{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Female""]}, ""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""IN"": {""sex"": [""Female""]}}]}",The cohort consists of female participants who are part of the INRG consortium.
"INRG white, male","{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Male""]}, ""race"": {""__type"": ""OPTION"", ""selectedValues"": [""White""]}, ""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""IN"": {""sex"": [""Male""]}}, {""IN"": {""race"": [""White""]}}]}","The cohort consists of individuals who are male, identify as White, and are part of the INRG consortium. All these criteria must be met for inclusion in the study."
"Metastatic bone marrow, present","{""value"": {""tumor_assessments.tumor_site"": {""__type"": ""OPTION"", ""selectedValues"": [""Bone Marrow""]}, ""tumor_assessments.tumor_state"": {""__type"": ""OPTION"", ""selectedValues"": [""Present""]}, ""tumor_assessments.tumor_classification"": {""__type"": ""OPTION"", ""selectedValues"": [""Metastatic""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""nested"": {""AND"": [{""IN"": {""tumor_site"": [""Bone Marrow""]}}, {""IN"": {""tumor_state"": [""Present""]}}, {""IN"": {""tumor_classification"": [""Metastatic""]}}], ""path"": ""tumor_assessments""}}]}",The cohort consists of individuals who have been assessed for tumors located in the bone marrow. These tumors are classified as metastatic and are currently present.
"Primary, Adrenal gland, present","{""value"": {""tumor_assessments.tumor_site"": {""__type"": ""OPTION"", ""selectedValues"": [""Adrenal Gland""]}, ""tumor_assessments.tumor_state"": {""__type"": ""OPTION"", ""selectedValues"": [""Present""]}, ""tumor_assessments.tumor_classification"": {""__type"": ""OPTION"", ""selectedValues"": [""Primary""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""nested"": {""AND"": [{""IN"": {""tumor_classification"": [""Primary""]}}, {""IN"": {""tumor_site"": [""Adrenal Gland""]}}, {""IN"": {""tumor_state"": [""Present""]}}], ""path"": ""tumor_assessments""}}]}","The cohort consists of individuals who have a primary tumor located in the adrenal gland, and the tumor is currently present."
11q deletion absence,"{""value"": {""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""selectedValues"": [""11q deletion""]}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""selectedValues"": [""Absent""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""nested"": {""AND"": [{""IN"": {""molecular_abnormality"": [""11q deletion""]}}, {""IN"": {""molecular_abnormality_result"": [""Absent""]}}], ""path"": ""molecular_analysis""}}]}","The cohort consists of individuals who have undergone molecular analysis and exhibit an 11q deletion, but the result of this molecular abnormality is absent."
pme,"{""value"": {""disease_phase:Initial Diagnosis"": {""value"": {""tumor_assessments.parameningeal_extension"": {""__type"": ""OPTION"", ""selectedValues"": [""Yes""]}}, ""__type"": ""ANCHORED""}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""parameningeal_extension"": [""Yes""]}}]}]}], ""path"": ""tumor_assessments""}}]}",The cohort consists of individuals who are at the initial diagnosis phase of their disease and have a tumor assessment indicating the presence of parameningeal extension.
ARMSn,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INSTRuCT""]}, ""histologies.histology"": {""__type"": ""OPTION"", ""selectedValues"": [""Alveolar rhabdomyosarcoma (ARMS)""]}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""selectedValues"": [""Absent""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INSTRuCT""]}}, {""nested"": {""AND"": [{""IN"": {""histology"": [""Alveolar rhabdomyosarcoma (ARMS)""]}}], ""path"": ""histologies""}}, {""nested"": {""AND"": [{""IN"": {""molecular_abnormality_result"": [""Absent""]}}], ""path"": ""molecular_analysis""}}]}","The cohort consists of participants from the INSTRuCT consortium who have been diagnosed with alveolar rhabdomyosarcoma (ARMS). Additionally, these participants do not exhibit any molecular abnormalities, as indicated by the absence of molecular abnormality results."
Relapse Primary Abdomen,"{""value"": {""disease_phase:Relapse"": {""value"": {""tumor_assessments.tumor_site"": {""__type"": ""OPTION"", ""selectedValues"": [""Abdomen""]}, ""tumor_assessments.tumor_state"": {""__type"": ""OPTION"", ""selectedValues"": [""Present""]}, ""tumor_assessments.tumor_classification"": {""__type"": ""OPTION"", ""selectedValues"": [""Primary""]}}, ""__type"": ""ANCHORED""}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Relapse""]}}, {""AND"": [{""IN"": {""tumor_classification"": [""Primary""]}}, {""IN"": {""tumor_site"": [""Abdomen""]}}, {""IN"": {""tumor_state"": [""Present""]}}]}]}], ""path"": ""tumor_assessments""}}]}","The cohort consists of individuals in the relapse phase of their disease. These individuals have primary tumors located in the abdomen, and the tumors are currently present."
INRG Stage 4 Neuroblastoma,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""disease_phase:Initial Diagnosis"": {""value"": {""stagings.stage"": {""__type"": ""OPTION"", ""selectedValues"": [""Stage 4""]}, ""histologies.histology"": {""__type"": ""OPTION"", ""selectedValues"": [""Neuroblastoma (Schwannian Stroma-Poor)""]}, ""tumor_assessments.tumor_classification"": {""__type"": ""OPTION"", ""selectedValues"": [""Metastatic""]}}, ""__type"": ""ANCHORED""}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""histology"": [""Neuroblastoma (Schwannian Stroma-Poor)""]}}]}]}], ""path"": ""histologies""}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""tumor_classification"": [""Metastatic""]}}]}]}], ""path"": ""tumor_assessments""}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""stage"": [""Stage 4""]}}]}]}], ""path"": ""stagings""}}]}","The cohort consists of patients who are part of the INRG consortium and were at the initial diagnosis phase. These patients have been diagnosed with Stage 4 Neuroblastoma, specifically the Schwannian Stroma-Poor subtype, and their tumors are classified as metastatic."
females,"{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Female""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""sex"": [""Female""]}}]}",The cohort consists of individuals who are female.
Spindle Cell >=5 cm,"{""value"": {""histologies.histology"": {""__type"": ""OPTION"", ""selectedValues"": [""Spindle cell""]}, ""tumor_assessments.longest_diam_dim1"": {""__type"": ""RANGE"", ""lowerBound"": 0, ""upperBound"": 4.9}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""nested"": {""AND"": [{""IN"": {""histology"": [""Spindle cell""]}}], ""path"": ""histologies""}}, {""nested"": {""AND"": [{""AND"": [{""GTE"": {""longest_diam_dim1"": 0}}, {""LTE"": {""longest_diam_dim1"": 4.9}}]}], ""path"": ""tumor_assessments""}}]}","The cohort consists of individuals with tumors classified as ""Spindle cell"" histology. Additionally, the longest diameter of these tumors, as measured in one dimension, ranges from 0 to 4.9 units. Both criteria must be met for inclusion in the cohort."
Spindle Cell >5 cm,"{""value"": {""histologies.histology"": {""__type"": ""OPTION"", ""selectedValues"": [""Spindle cell""]}, ""tumor_assessments.longest_diam_dim1"": {""__type"": ""RANGE"", ""lowerBound"": 5, ""upperBound"": 20}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""nested"": {""AND"": [{""IN"": {""histology"": [""Spindle cell""]}}], ""path"": ""histologies""}}, {""nested"": {""AND"": [{""AND"": [{""GTE"": {""longest_diam_dim1"": 5}}, {""LTE"": {""longest_diam_dim1"": 20}}]}], ""path"": ""tumor_assessments""}}]}","The cohort consists of individuals with tumors classified as ""Spindle cell"" histology. Additionally, the longest diameter of the tumor, as measured in dimension 1, must be between 5 and 20 units. Both criteria must be met for inclusion in the study."
MYCN Negative,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""selectedValues"": [""MYCN Amplification""]}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""selectedValues"": [""Absent""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""molecular_abnormality"": [""MYCN Amplification""]}}, {""IN"": {""molecular_abnormality_result"": [""Absent""]}}], ""path"": ""molecular_analysis""}}]}","The cohort consists of participants from the INRG consortium who have undergone molecular analysis. Specifically, these participants exhibit an absence of MYCN amplification as a molecular abnormality."
MYCN Positive,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""selectedValues"": [""MYCN Amplification""]}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""selectedValues"": [""Present""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""molecular_abnormality"": [""MYCN Amplification""]}}, {""IN"": {""molecular_abnormality_result"": [""Present""]}}], ""path"": ""molecular_analysis""}}]}",The cohort consists of participants from the INRG consortium who have a molecular analysis indicating the presence of MYCN amplification.
male and (asian or black),"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",,The cohort consists of individuals who are male and identify as Asian. Both criteria must be met for inclusion in the cohort.
male and (asian or black),"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",,The cohort consists of individuals who are both male and Asian.
Male Asian Not Reported Black,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian"", ""Not Reported""]}, ""__combineMode"": ""AND""}",,The cohort consists of individuals who are male and are either Asian or have not reported their race.
ERMS - female,"{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Female""]}, ""histologies.histology"": {""__type"": ""OPTION"", ""selectedValues"": [""Embryonal rhabdomyosarcoma (ERMS)""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""sex"": [""Female""]}}, {""nested"": {""AND"": [{""IN"": {""histology"": [""Embryonal rhabdomyosarcoma (ERMS)""]}}], ""path"": ""histologies""}}]}",The cohort consists of female individuals diagnosed with embryonal rhabdomyosarcoma (ERMS).
>=5cm,"{""value"": {""histologies.histology"": {""__type"": ""OPTION"", ""selectedValues"": [""Spindle cell""]}, ""tumor_assessments.longest_diam_dim1"": {""__type"": ""RANGE"", ""lowerBound"": 5, ""upperBound"": 20}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""nested"": {""AND"": [{""IN"": {""histology"": [""Spindle cell""]}}], ""path"": ""histologies""}}, {""nested"": {""AND"": [{""AND"": [{""GTE"": {""longest_diam_dim1"": 5}}, {""LTE"": {""longest_diam_dim1"": 20}}]}], ""path"": ""tumor_assessments""}}]}","The cohort consists of individuals with tumors classified as ""Spindle cell"" histology. Additionally, the longest diameter of the tumor, as measured in dimension 1, must be between 5 and 20 units. Both criteria must be met for inclusion in the study."
NODAL M NB HiA,"{""value"": {""sex"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Male""]}, ""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""NODAL""]}, ""labs.lab_test"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Albumin""]}, ""labs.lab_result_numeric"": {""__type"": ""RANGE"", ""lowerBound"": 4, ""upperBound"": 161}, ""disease_characteristics.bulk_disease"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""No""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""NODAL""]}}, {""IN"": {""sex"": [""Male""]}}, {""nested"": {""AND"": [{""IN"": {""bulk_disease"": [""No""]}}], ""path"": ""disease_characteristics""}}, {""nested"": {""AND"": [{""IN"": {""lab_test"": [""Albumin""]}}, {""AND"": [{""GTE"": {""lab_result_numeric"": 4}}, {""LTE"": {""lab_result_numeric"": 161}}]}], ""path"": ""labs""}}]}","The cohort consists of male participants who are part of the NODAL consortium. These individuals do not have bulk disease. Additionally, they have undergone lab tests for Albumin, with their lab results falling within the numeric range of 4 to 161."
Neuroblastoma,"{""value"": {""histologies.histology"": {""__type"": ""OPTION"", ""selectedValues"": [""Neuroblastoma (Schwannian Stroma-Poor)""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""nested"": {""AND"": [{""IN"": {""histology"": [""Neuroblastoma (Schwannian Stroma-Poor)""]}}], ""path"": ""histologies""}}]}","The cohort consists of individuals diagnosed with the histology type ""Neuroblastoma (Schwannian Stroma-Poor)."""
"Neuroblastoma, Initial=y, male","{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Male""]}, ""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""disease_phase:Initial Diagnosis"": {""value"": {""stagings.stage"": {""__type"": ""OPTION"", ""selectedValues"": [""Stage 4""]}, ""histologies.histology"": {""__type"": ""OPTION"", ""selectedValues"": [""Neuroblastoma (Schwannian Stroma-Poor)""]}}, ""__type"": ""ANCHORED""}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""IN"": {""sex"": [""Male""]}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""histology"": [""Neuroblastoma (Schwannian Stroma-Poor)""]}}]}]}], ""path"": ""histologies""}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""stage"": [""Stage 4""]}}]}]}], ""path"": ""stagings""}}]}","The cohort consists of male patients who are part of the INRG consortium. These patients were at the initial diagnosis phase and had Stage 4 neuroblastoma, specifically the Schwannian Stroma-Poor histology type."
MYCN Positive,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""selectedValues"": [""MYCN Amplification""]}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""selectedValues"": [""Present""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""molecular_abnormality"": [""MYCN Amplification""]}}, {""IN"": {""molecular_abnormality_result"": [""Present""]}}], ""path"": ""molecular_analysis""}}]}",The cohort consists of participants from the INRG consortium who have a molecular analysis indicating the presence of MYCN amplification.
botryoid,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INSTRuCT""]}, ""histologies.histology"": {""__type"": ""OPTION"", ""selectedValues"": [""Botryoid rhabdomyosarcoma (BRMS)""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INSTRuCT""]}}, {""nested"": {""AND"": [{""IN"": {""histology"": [""Botryoid rhabdomyosarcoma (BRMS)""]}}], ""path"": ""histologies""}}]}",The cohort consists of participants who are part of the INSTRuCT consortium and have been diagnosed with Botryoid rhabdomyosarcoma (BRMS).
botryoid,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INSTRuCT""]}, ""histologies.histology"": {""__type"": ""OPTION"", ""selectedValues"": [""Botryoid rhabdomyosarcoma (BRMS)""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INSTRuCT""]}}, {""nested"": {""AND"": [{""IN"": {""histology"": [""Botryoid rhabdomyosarcoma (BRMS)""]}}], ""path"": ""histologies""}}]}",The cohort consists of participants who are part of the INSTRuCT consortium and have been diagnosed with Botryoid rhabdomyosarcoma (BRMS).
Neuroblastoma,"{""value"": {""histologies.histology"": {""__type"": ""OPTION"", ""selectedValues"": [""Neuroblastoma (Schwannian Stroma-Poor)""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""nested"": {""AND"": [{""IN"": {""histology"": [""Neuroblastoma (Schwannian Stroma-Poor)""]}}], ""path"": ""histologies""}}]}","The cohort consists of individuals diagnosed with the histology type ""Neuroblastoma (Schwannian Stroma-Poor)""."
Neuroblastoma,"{""value"": {""histologies.histology"": {""__type"": ""OPTION"", ""selectedValues"": [""Neuroblastoma (Schwannian Stroma-Poor)""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""nested"": {""AND"": [{""IN"": {""histology"": [""Neuroblastoma (Schwannian Stroma-Poor)""]}}], ""path"": ""histologies""}}]}",The cohort consists of individuals diagnosed with Neuroblastoma (Schwannian Stroma-Poor).
